DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_EASTAT_20,C2021_EASTAT_20_NAME,C2021_EASTAT_20_CODE,C2021_EASTAT_20_TYPE,C2021_EASTAT_20_TYPECODE,C2021_EASTAT_20_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,2,Economically active (excluding full-time students): In employment: Employee: Full-time,_2,Economic activity status,1000000,5,20100,Value,22723,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d2d20100,10,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,2,Economically active (excluding full-time students): In employment: Employee: Full-time,_2,Economic activity status,1000000,5,20301,Percent,30.4,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d2d20301,11,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1004,Economically active (excluding full-time students):In employment:Self-employed with employees,1004,Economic activity status,1000000,6,20100,Value,872,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d3a4d20100,12,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1004,Economically active (excluding full-time students):In employment:Self-employed with employees,1004,Economic activity status,1000000,6,20301,Percent,1.2,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d3a4d20301,13,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,_3,Economic activity status,1000000,7,20100,Value,210,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d3d20100,14,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,_3,Economic activity status,1000000,7,20301,Percent,0.3,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d3d20301,15,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,_4,Economic activity status,1000000,8,20100,Value,662,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d4d20100,16,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,_4,Economic activity status,1000000,8,20301,Percent,0.9,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d4d20301,17,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1005,Economically active (excluding full-time students):In employment:Self-employed without employees,1005,Economic activity status,1000000,9,20100,Value,3676,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d5a6d20100,18,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1005,Economically active (excluding full-time students):In employment:Self-employed without employees,1005,Economic activity status,1000000,9,20301,Percent,4.9,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d5a6d20301,19,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,_5,Economic activity status,1000000,10,20100,Value,1444,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d5d20100,20,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,_5,Economic activity status,1000000,10,20301,Percent,1.9,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d5d20301,21,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,_6,Economic activity status,1000000,11,20100,Value,2232,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d6d20100,22,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,_6,Economic activity status,1000000,11,20301,Percent,3,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d6d20301,23,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,7,Economically active (excluding full-time students): Unemployed,_7,Economic activity status,1000000,12,20100,Value,2641,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d7d20100,24,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,7,Economically active (excluding full-time students): Unemployed,_7,Economic activity status,1000000,12,20301,Percent,3.5,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d7d20301,25,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1006,Economically active and a full-time student,1006,Economic activity status,1000000,13,20100,Value,1264,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8a9a10a11a12a13a14d20100,26,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1006,Economically active and a full-time student,1006,Economic activity status,1000000,13,20301,Percent,1.7,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8a9a10a11a12a13a14d20301,27,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1007,Economically active and a full-time student:In employment,1007,Economic activity status,1000000,14,20100,Value,903,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8a9a10a11a12a13d20100,28,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1007,Economically active and a full-time student:In employment,1007,Economic activity status,1000000,14,20301,Percent,1.2,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8a9a10a11a12a13d20301,29,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1008,Economically active and a full-time student:In employment:Employee,1008,Economic activity status,1000000,15,20100,Value,874,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8a9d20100,30,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1008,Economically active and a full-time student:In employment:Employee,1008,Economic activity status,1000000,15,20301,Percent,1.2,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8a9d20301,31,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,8,Economically active and a full-time student: In employment: Employee: Part-time,_8,Economic activity status,1000000,16,20100,Value,712,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8d20100,32,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,8,Economically active and a full-time student: In employment: Employee: Part-time,_8,Economic activity status,1000000,16,20301,Percent,1,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d8d20301,33,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,9,Economically active and a full-time student: In employment: Employee: Full-time,_9,Economic activity status,1000000,17,20100,Value,162,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d9d20100,34,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,9,Economically active and a full-time student: In employment: Employee: Full-time,_9,Economic activity status,1000000,17,20301,Percent,0.2,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d9d20301,35,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1009,Economically active and a full-time student:In employment:Self-employed with employees,1009,Economic activity status,1000000,18,20100,Value,5,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d10a11d20100,36,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1009,Economically active and a full-time student:In employment:Self-employed with employees,1009,Economic activity status,1000000,18,20301,Percent,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d10a11d20301,37,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,_10,Economic activity status,1000000,19,20100,Value,5,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d10d20100,38,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,_10,Economic activity status,1000000,19,20301,Percent,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d10d20301,39,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,_11,Economic activity status,1000000,20,20100,Value,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d11d20100,40,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,_11,Economic activity status,1000000,20,20301,Percent,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d11d20301,41,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1010,Economically active and a full-time student:In employment:Self-employed without employees,1010,Economic activity status,1000000,21,20100,Value,24,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d12a13d20100,42,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1010,Economically active and a full-time student:In employment:Self-employed without employees,1010,Economic activity status,1000000,21,20301,Percent,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d12a13d20301,43,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,_12,Economic activity status,1000000,22,20100,Value,16,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d12d20100,44,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,_12,Economic activity status,1000000,22,20301,Percent,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d12d20301,45,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,_13,Economic activity status,1000000,23,20100,Value,8,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d13d20100,46,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,_13,Economic activity status,1000000,23,20301,Percent,0,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d13d20301,47,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,14,Economically active and a full-time student: Unemployed,_14,Economic activity status,1000000,24,20100,Value,361,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d14d20100,48,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,14,Economically active and a full-time student: Unemployed,_14,Economic activity status,1000000,24,20301,Percent,0.5,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d14d20301,49,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1011,Economically inactive,1011,Economic activity status,1000000,25,20100,Value,33934,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d15a16a17a18a19d20100,50,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,1011,Economically inactive,1011,Economic activity status,1000000,25,20301,Percent,45.4,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d15a16a17a18a19d20301,51,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,15,Economically inactive: Retired,_15,Economic activity status,1000000,26,20100,Value,17910,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d15d20100,52,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,15,Economically inactive: Retired,_15,Economic activity status,1000000,26,20301,Percent,24,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d15d20301,53,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,16,Economically inactive: Student,_16,Economic activity status,1000000,27,20100,Value,3463,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d16d20100,54,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,16,Economically inactive: Student,_16,Economic activity status,1000000,27,20301,Percent,4.6,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d16d20301,55,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,17,Economically inactive: Looking after home or family,_17,Economic activity status,1000000,28,20100,Value,4303,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d17d20100,56,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,17,Economically inactive: Looking after home or family,_17,Economic activity status,1000000,28,20301,Percent,5.8,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d17d20301,57,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,18,Economically inactive: Long-term sick or disabled,_18,Economic activity status,1000000,29,20100,Value,5432,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d18d20100,58,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,18,Economically inactive: Long-term sick or disabled,_18,Economic activity status,1000000,29,20301,Percent,7.3,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d18d20301,59,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,19,Economically inactive: Other,_19,Economic activity status,1000000,30,20100,Value,2826,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d19d20100,60,10850
2021,2021,2021,date,0,0,1774190593,Hartlepool,E06000001,local authorities: county / unitary (as of April 2023),423,0,19,Economically inactive: Other,_19,Economic activity status,1000000,30,20301,Percent,3.8,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190593d19d20301,61,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,0,Total: All usual residents aged 16 years and over,0,Economic activity status,1000000,0,20100,Value,113939,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d0d20100,62,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,0,Total: All usual residents aged 16 years and over,0,Economic activity status,1000000,0,20301,Percent,100,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d0d20301,63,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1001,Economically active (excluding full-time students),1001,Economic activity status,1000000,1,20100,Value,58233,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1a2a3a4a5a6a7d20100,64,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1001,Economically active (excluding full-time students),1001,Economic activity status,1000000,1,20301,Percent,51.1,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1a2a3a4a5a6a7d20301,65,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1002,Economically active (excluding full-time students):In employment,1002,Economic activity status,1000000,2,20100,Value,53849,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1a2a3a4a5a6d20100,66,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1002,Economically active (excluding full-time students):In employment,1002,Economic activity status,1000000,2,20301,Percent,47.3,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1a2a3a4a5a6d20301,67,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1003,Economically active (excluding full-time students):In employment:Employee,1003,Economic activity status,1000000,3,20100,Value,47228,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1a2d20100,68,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1003,Economically active (excluding full-time students):In employment:Employee,1003,Economic activity status,1000000,3,20301,Percent,41.5,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1a2d20301,69,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1,Economically active (excluding full-time students): In employment: Employee: Part-time,_1,Economic activity status,1000000,4,20100,Value,14198,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1d20100,70,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1,Economically active (excluding full-time students): In employment: Employee: Part-time,_1,Economic activity status,1000000,4,20301,Percent,12.5,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d1d20301,71,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,2,Economically active (excluding full-time students): In employment: Employee: Full-time,_2,Economic activity status,1000000,5,20100,Value,33030,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d2d20100,72,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,2,Economically active (excluding full-time students): In employment: Employee: Full-time,_2,Economic activity status,1000000,5,20301,Percent,29,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d2d20301,73,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1004,Economically active (excluding full-time students):In employment:Self-employed with employees,1004,Economic activity status,1000000,6,20100,Value,1245,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d3a4d20100,74,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1004,Economically active (excluding full-time students):In employment:Self-employed with employees,1004,Economic activity status,1000000,6,20301,Percent,1.1,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d3a4d20301,75,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,_3,Economic activity status,1000000,7,20100,Value,376,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d3d20100,76,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,_3,Economic activity status,1000000,7,20301,Percent,0.3,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d3d20301,77,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,_4,Economic activity status,1000000,8,20100,Value,869,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d4d20100,78,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,_4,Economic activity status,1000000,8,20301,Percent,0.8,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d4d20301,79,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1005,Economically active (excluding full-time students):In employment:Self-employed without employees,1005,Economic activity status,1000000,9,20100,Value,5376,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d5a6d20100,80,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,1005,Economically active (excluding full-time students):In employment:Self-employed without employees,1005,Economic activity status,1000000,9,20301,Percent,4.7,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d5a6d20301,81,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,_5,Economic activity status,1000000,10,20100,Value,2287,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d5d20100,82,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,_5,Economic activity status,1000000,10,20301,Percent,2,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d5d20301,83,10850
2021,2021,2021,date,0,0,1774190594,Middlesbrough,E06000002,local authorities: county / unitary (as of April 2023),423,1,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,_6,Economic activity status,1000000,11,20100,Value,3089,A,Normal Value,FALSE,Free (free for publication),Nm-2083d1d32336e0d1774190594d6d20100,84,10850
